Content,Score
你小子我必须夸两句再走！！！（霸气叼花）,5
看你  更浪漫[害羞R],5
为什么我看到有个弹幕上面说，要是我是女的就好了，？？？[害羞R][害羞R],4
@悲伤GG爆 这个也是我超爱的,5
@59s [色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R][色色R],4
@星晴 D&G 海水都没有他的眼睛清澈[害羞R][害羞R],5
@只用沉默回答🐬,3
@星晴 D&G 没想到姜还有小红书[皱眉R][皱眉R],3
@Tp_花生油叻🐟. 清晰了吧,3
@小北 我说这是我最爱的一个,5
@小红薯647ACE72 快快快,4
@好好爱自己 够不够日系,4
什么耳机,3
可以直接当壁纸的程度,5
哥，你是真的人嘛,4
@绝世美女,3
@十,3
卧槽好像梦比优斯[偷笑R],4
我真的不是故意的[偷笑R],4
肿么介么帅啊[吧唧R],5
@霧,3
@@怪兽朵拉,3
你会找什么样的女友？[偷笑R],5
这就是我一开始看见你的样子,3
你好像我老公,5
有谁知道他是湖南长沙哪里,5
你好我朋友想加你微信,5
帅我一脸[偷笑R],5
太帅了我靠,5
海的空气,3
@孜歌. @HY @祁轩 @林官官.,3
@港口,3
@中途逢春,3
@忆年＾,3
[吧唧R][吧唧R],4
@蓝莓蓝莓塔,3
学习累了来看看小姜充电,4
@Mi Manchi,3
我最爱的老公[哭惹R]没有之一[哭惹R],5
什么耳机鸭,4
我决定了我要娶你[飞吻R][飞吻R]，等我赚钱养你，宝宝,5
@heliotrope&ZJZ,3
太有氛围了[哭惹R],4
bgm点赞人更加分,5
我操，我的宝,5
@？ 啊啊啊,3
阿峰，可以发一下衣服链接吗？,5
老公,5
帅[偷笑R][偷笑R],5
这个视频真的很眼熟  [哭惹R][哭惹R]我好像看到有人做成了动态头像,4
太帅啦[害羞R][飞吻R],5
会不会遮眼镜有点我现在就是有点遮眼睛请问怎么办[哭惹R],3
之前我的理想型是…，现在你就是我的理想型[色色R],5
@小红薯648BBB12,3
随手一截都是一项氛围感满满的头像啦,4
@雾都雾里七个八,3
因为有你才浪漫,5
好想问你多高,3
考研累了来欣赏一下美颜[害羞R],5
我掉 我才看见标的威海[石化R]我在威海,3
这氛围感 太绝了[萌萌哒R],4
我一直觉得这位哥哥长得很像我的crush，出于某种原因我们见不到了但是我还是觉得他一直都在我身边直到看见姜峰勇，我好像找回了当初绕大半个操场看他的感觉[哭惹R][哭惹R],5
@T. @暥. @沐可 @国术,3
本来就是,3
哥 你能来武汉拍拍晴川阁吗 真的好有感觉！,4
又回来看你啦,5
@沐雅想穿xs,3
不用和谁一起，海本身就浪漫，你也是,5
好帅！！！！[害羞R],5
你再好看，我也是你得不到的女人，我起码还能看看你，你连看我的机会都没有，这就是差距。,5
我们一定会见的，在梦里相遇，是吧。,5
出个头发打理教程吧，我跪着听,5
@大风。 @辰 @陆讷 @48625867 @JUIY @Deleta 啊 我是真的喜欢,5
@周生仁,3
@y. @M.xxxx_ 帅吗[偷笑R],4
@周生仁,3
我好冒昧啊[捂脸R]，想知道这位帅气的小弟弟，是明星还是网红，还是哪个组合里面的，冒昧冒昧,5
@浅夏诗韵,3
@朱朱包去深海 看帅哥[doge],4
有点帅,4
衣服什么牌子的啊,3
听着催眠了[偷笑R],3
the way i still,4
啊啊啊啊啊啊啊,4
你帅得像ai,5
@格西 [萌萌哒R][萌萌哒R][萌萌哒R][萌萌哒R],3
@白蒲耶耶.🐾,3
好帅啊,5
唯你最浪漫！一起去看海去了[飞吻R],4
抖音号[doge],4
果然看帅哥会心情愉悦,5
@ゾロ 上次跟lyw一直说的那个,3
@超级想瘦的小雷,3
@哈奇 啊！！！,4
@Fariy. 帅,4
@乌梅茄汁鱼,3
@涛 姜峰勇,3
感谢大数据 好爱 收藏啦[暗中观察R][暗中观察R][暗中观察R],5
好帅啊啊啊啊啊啊啊啊啊啊疯掉了,5
[色色R][色色R],4
@C=C @momo,3
帅死了啊,4
想要裤子链接[哭惹R],3
[飞吻R],4
和喜欢的人一起看海，就是浪漫本身,4
好日系的帅哥,5
@胖子婧,3
看到帅哥心情也变好了[色色R][色色R][色色R][色色R],5
@萩原 @WAIT,3
@x你 [害羞R],4
@iiii 这发型咋留啊  秘书帮我查[可怜R],3
见过本人别季度我[偷笑R],4
