Content,Name,Liked
从上一条过来的，哇塞，他看起来好小啊,不完美小姐,5
怎么认识的呀,加一个芝士,1
祝福 祝福,灰灰,1
男生好稚嫩呀,门没锁,1
需要能线上教学小初高的各课教师,甲甲,0
请问亲们有没有清北的学生做家教啊？,小红薯_0379,0
蹲北京初中物理数学老师 坐标海淀,⁽⁽ଘĽǑľǐŤǎଓ⁾⁾,0
需要各科老师,GAS,0
请问有无贵校兼职群....？我司麒麟盛世运营中心想招聘文案策划和编剧，线上兼职即可,匯华是我啦,0
感兴趣可以👇我，没有信息费啥的，具体了解你就知道啦。标题党只是因为这个审核太难过了呜呜呜[哭惹R],kkkkkay,0
北京蹲几个大学生老师[害羞R],杨杨羊,0
借楼找英语家教,心清净静静,2
蹲几个北京大学生，自己忙不过来了，靠谱的私我[微笑R][微笑R],Alex大能猫,0
我寒假在北京，教几年级的学生啊[笑哭R],深海荒屿.,0
牛街有英语老师吗 六年级,placidchen0411,1
蹲北京家教英语和物理[哭惹R][哭惹R],hiii,1
蹲蹲！朝阳区211在读，可以教语数英、初中物理、初高中生物都有经验,艾斯,1
北京大学学生，数理化生都可[害羞R],ggggggg,0
北京线上初中语文有人能带吗，有一点点信息费,小红薯6536E1D0,0
蹲 北京23级大学生 高考英语全国甲卷136 丰台区[皱眉R][皱眉R],echo,0
北京海淀211大二学生，计算机专业，有家教经验🙋蹲学生,wuwuwu,0
北京海淀211在读，接小学初中英语兼数学物理化学，高考英语139,川断,0
北师大学科数学专业研究生🙋蹲学生,不二子,0
您好，我弟是西安电子科技大学的，今年刚保研中国科学院大学，专业是电子信息工程方向，高考物理满分数学也差点满分，还需要吗[偷笑R],芝芝芝,0
英语老师蹲学生,渐入佳境,0
北京蹲大学生家教,我四鸽杀手,0
您好 请问你是明睿教育的吗,不想洗头发,0
接周末英语家教，北语在读，高考英语135，四六级600+,JimmySuu,2
北京丰台，数学家教蹲一个,clao,0
有没有可以住家的老师,Camellia Y,0
小学高段语文老师，带小初语文[偷笑R],悦,0
接大兴小学,六筒,0
北大研究生蹲数学[萌萌哒R],谢谢您,0
接初中数学科目，坐标海淀,任我行,0
房山[暗中观察R],一米阳光,1
@💕 @。 @沐雪 @龟苓膏,Fffffff,1
pku本科在读蹲一蹲学生！不过最近只能线上，18号回北京orz,尾笙,0
蹲雅思家教，一对二,🔺Satisfaction,1
蹲初二数学家教坐标西城,小萝卜,0
没有信息费的都是因为抽成了课时费,墨染蒅,0
我们在很多城市都有，打通城市壁垒,楚楚ya,0
请问可以私我吗！我次数用完了[哭惹R],ᅠᅠᅠ,0
想问问[害羞R],盼自由,0
北京蹲蹲家教老师 大学生老师 有资源群,没脖子的辛辛,0
人少单多急需老师[哭惹R][哭惹R] 北京线下,momo,0
学建筑专业也要学物理啊？[哭惹R][哭惹R],零,0
请问做五年级数学家教么？坐标北京,小肉包weiwei,0
北京海淀 初一,京儿如子,0
接上海学生吗 线上也可以,小小,0
还带家教吗？怎么收费,Gu,0
请问做家教吗？高二数学,小萌大宽,0
你好当家教吗,时间猎人,0
前排，期待分享语文方法[偷笑R],遥知未来,1
评论区的单子大家注意识别真伪[微笑R],momo,7
蹲北京大学生老师 无信息费[笑哭R][笑哭R]需要能吃苦耐劳 英语老师[暗中观察R][暗中观察R]课时费非常美丽,Marrisa,1
蹲初二数学英语家教 坐标北京西城,小萝卜,3
蹲北京大学生家jiao老师 有信息费，但是不高 小学初中一个小时课时费在一百到一百三浮动，高中两百到三百，试课不通过信息费全退，没有霸王条款，不压榨老师 本人亲干,噜啦噜啦,0
蹲北京想做家教的友[哭惹R]单子很多很缺人[哭惹R]孩子要急哭了[哭惹R][哭惹R][哭惹R],XXY,0
蹲初二数学 英语家教 坐标北京西城,小萝卜,0
捞捞北京想接家教的uu，手上现在有好多单子出不去[哭惹R],辞.,2
我也是一次交六百多，两节课回本，中介确实掌握了很多家长资源，你能咋办，自己找效率太低了，xhs上的家教质量参差不齐，还容易被比价。,好卡,2
坐标北京海淀区六道口附近，擅长初高中数学[微笑R],位置的兔子🐰,0
北京蹲学生，学院路五道口，本科地大工科，保研中山大学社科，四六级600+，奖学金若干，陪写作业陪背诵陪听写，对自己和学生要求都比较严格哈[微笑R],momo,0
北航学院路蹲一个学生,DingDingCat,0
蹲家教老师，手里超多单发不出去，信息费八折，可凑满减，试课不通过包退[哭惹R],pea叽（实习版,0
蹲蹲北京想做家教的宝宝，两边单子都很多但是没人接[哭惹R],Xue_,0
蹲北京想做家教的朋友[蹲后续H] 我自己就在这个平台接单 单子很多发不过来 之前有试课失败的信息费也都退回来了 给大家试过水了很安全🥹 速来！！,Lwyi_11,0
蹲初二数学家教 坐标西城,小萝卜,0
有的收几千的都有，家长直接找不到老师，老师找不到家长。中介就有了，中介收费真的是离谱。,杭州语文阮老师,0
我这里有几个单子，信息费不贵不是上来就交钱的还比较可信[蹲R][害羞R],小红薯65A26773,1
我这次要我信息费800[哭惹R],抹茶小方,0
蹲西安、成都、广州、北京的大学生。单多，需求大,山海,0
