Content,Name,Liked
是的 比我小三岁[笑哭R],小野青,2
工作认识的[笑哭R],小野青,2
您好，人大经济系大三在读，语文一类上、英文六级681，有需要嘛,小福貝兒,0
请问具体有什么要求呢？,今天会有好运气,1
[蹲后续H],🈚感,0
我,zzzzz,0
北京23级高考英语138，985在读，您在哪个区啊,Viiicky,2
蹲,by望仔不喜欢喝牛奶,0
私信,kkkkkay,0
这🙋,吃迟尺翅^,1
我可以[蹲后续H],momo,0
联系我,樊,0
蹲,scn,0
有的，[蹲后续H],小红薯5D43896E,0
��,小蟹.,0
[蹲后续H],🈚感,0
求个群,我四鸽杀手,1
��,十安在睡觉,0
建筑物理,Jack,0
后续就是我不敢交钱[笑哭R] 省得被骗[笑哭R],momo,0
求拉,玉树临风的疯批大魔王,1
dd,ㅤ,1
蹲群[皱眉R],Potato,0
请问中介费多少啊,ROMANCE,1
您好 北京交通大学在读 可以试试嘛,玛卡😄👀,0
礼貌问群,霜降.,0
没被骗最好，xhs上多的是中介费要不回来的，只是让大家擦亮双眼不要被骗,momo,3
有单,数学王老师,0
你是中介吧,momo,0
老师还在招嘛～,月半,0
你好，私信你了,Soraya,0
有信息费吗，没有的话我可以,Soraya,0
我这有这样需求的学生 还麻烦有家教需求的同学私我,噜啦噜啦,0
您好可以私我一下吗,宝,0
我这有这样需求的学生 还麻烦有家教需求的同学私我,噜啦噜啦,0
在帮一个国际学校初中的孩子找数学家教，题干是英文的，可以带的话回复下哈，坐标北京朝阳，无信息费,镜临网络科技,0
[暗中观察R],闻风雪201905,0
在帮一个国际学校初中的孩子找数学家教，题干是英文的，可以带的话回复下哈，坐标北京朝阳，无信息费,镜临网络科技,0
还需要吗，可以问一下学生成绩怎么样吗,从容,0
我[偷笑R],小红薯64506010,0
我这有五年级学生，在五道口附近,星星迷路了,0
在帮一个国际学校初中的孩子找数学家教，题干是英文的，可以带的话回复下哈，坐标北京朝阳，无信息费,镜临网络科技,0
d,乖乖,0
在帮一个国际学校初中的孩子找数学家教，题干是英文的，可以带的话回复下哈，坐标北京朝阳，无信息费,镜临网络科技,0
4万太少了，给个10万，估计会有人接洽转让的[飞吻R]。,行走天涯,185
肯定有大把培训机构高薪求着你去，还给你配车配房配助理的那种。。衣食住行不用你花一分钱操一点心。,mimo,195
就是，如果真的能培养成这样加个0我也愿意,霓虹,32
？,小周今天吃什么🤔,0
我觉得人吧，别什么都不了解就说风凉话，显得特别low。你但凡认识哪怕一位海淀区正在经历小升初的妈妈，只要不是傻子都知道人分是海淀最好的初中，中考平均分比本部高不少。,恒温恒湿,4
[捂脸R][捂脸R][捂脸R][捂脸R],呼啦呼啦圈,0
哈哈，教出这个标准的，在乎这点钱…,木木,2
您好,.,0
我我我，在读海淀班级前三有经验,現在改背六級,0
我我我我,現在改背六級,0
dd,Paranoea.,0
物理，数学均可,我们各自努力，顶端相见,0
你交什么吗的,鲤鱼,0
我顶我顶我顶[派对R][派对R][派对R],昔洛的奶糖,0
有群的吗,Aia,0
需要初中数学物理家教,西贝木木,0
需要家教,西贝木木,0
您好，能辅导高一的孩子么？,o_O,0
请问还需要家教嘛？今年准大一，上岸中国政法大学,理想流星itdurs💫,0
让我试试[偷笑R],一只被烤焦的橘子,0
少,无敌卢瑟,0
你二哥在哪里，我给孩子留意下[笑哭R][笑哭R],女王郭有米,0
这孩子每门课都低，不是偏科的问题，家长应该在自己基因上找找原因,对方正在输入,1
就算60万都有点少,尧大猫,5
我给我姑娘说了啊，人家无动于衷[笑哭R],好走不宋女士,1
不过我想他们可能是读清华北大的，也不咋能看上浙大[害羞R],Yannah,0
最后看到人民币的zuo yong l m,只喝露水的小仙女,1
报恩的肯定也有，但是没那么多哈,贝小辣,0
意料之中！实验班能少了关系户？,青青河畔草,7
我文科生，数学没问题，物理可能不太行,梁奕,0
我看学科辅导是小红书敏感词条[微笑R]，这条笔记还被警告了,梁奕,0
科研不看这些 可以潜心学术[飞吻R],白羊学姐,3
啊 这可能只有不值钱的文科研究生有空[哭惹R],白羊学姐,2
累到还没时间更新[哭惹R],白羊学姐,1
